GISJOIN_ZCTA,COUNTYFP10,STATEFP10,ZCTA5CE10,GISJOIN_CBSA,p_overlap,urban,GISJOIN_county,YEAR,tot_hh,p20_hh_state,p80_hh_state,p20_cutoff_state,p80_cutoff_state,p20_static,p80_static,threshold_bin_p20_state,threshold_bin_p80_state,poor_income_static,rich_income_static,static_ice_income,poor,rich,ice_income,poor_black_static,rich_white_static,static_ice_race,poor_black,rich_white,ice_race,tot_pop,med_hh_inc,p_nh_white,p_nh_black,p_nh_ai,p_nh_asian,p_hisp,p_no_hs,p_ling_iso,p_pov,p_rent_occ,pop_density
G15310,051,54,15310,G48540,4.941562579591279e-12,0,G5400510,2007-2011,13915,148016,592064,17500,87500,20453,100000,3,12,3932,966.5,-0.21311534315486885,2891.5,2021,-0.06255839022637441,38,951.5,0.06564858066834352,38,2003.5,0.1412504491555875,283,47386,100,0,0,0,0,19.457013574660635,0,27.915194346289752,16.528925619834713,0.005892043806892671
G15315,059,42,15315,NA,NA,NA,G4200590,2007-2011,14102,990513.2000000001,3962052.8000000003,22500,112500,20453,100000,4,13,3655.5,1471.5,-0.154871649411431,3655.5,1471.5,-0.154871649411431,1.5,1466.5,0.10388597362076302,1.5,1466.5,0.10388597362076302,945,48929,96.29629629629629,0,0.31746031746031744,0.31746031746031744,0.5291005291005291,12.339743589743591,0.8021390374331552,14.814814814814813,24.06417112299465,0.2758433354947284
G15316,059,42,15316,G34060,2.5192849767149093e-11,0,G4200590,2007-2011,14102,990513.2000000001,3962052.8000000003,22500,112500,20453,100000,4,13,3655.5,1471.5,-0.154871649411431,3655.5,1471.5,-0.154871649411431,1.5,1466.5,0.10388597362076302,1.5,1466.5,0.10388597362076302,82,29643,100,0,0,0,0,9.433962264150944,0,23.170731707317074,14.705882352941178,0.08014544977471116
G15320,051,42,15320,G38300,1.6564226717237961e-12,0,G4200510,2007-2011,54717,990513.2000000001,3962052.8000000003,22500,112500,20453,100000,4,13,16525,3505,-0.23795164208564065,16525,3505,-0.23795164208564065,900.5,3411,0.04588153590291866,900.5,3411,0.04588153590291866,5807,44589,98.88066127087998,0.06888238333046323,0.15498536249354228,0.15498536249354228,0,12.091988130563799,0.5543710021321961,10.662274618585297,22.77185501066098,0.05725142869759202
G15322,059,42,15322,G38300,20.595583949628377,0,G4200590,2007-2011,14102,990513.2000000001,3962052.8000000003,22500,112500,20453,100000,4,13,3655.5,1471.5,-0.154871649411431,3655.5,1471.5,-0.154871649411431,1.5,1466.5,0.10388597362076302,1.5,1466.5,0.10388597362076302,2111,41544,95.07342491710091,0.6631927996210327,0,0.09474182851729039,1.1369019422074846,13.682864450127877,0,16.538830297219558,16.429495472186286,0.057168867241610744
G15325,059,42,15325,NA,NA,NA,G4200590,2007-2011,14102,990513.2000000001,3962052.8000000003,22500,112500,20453,100000,4,13,3655.5,1471.5,-0.154871649411431,3655.5,1471.5,-0.154871649411431,1.5,1466.5,0.10388597362076302,1.5,1466.5,0.10388597362076302,521,22432,100,0,0,0,0,25.547445255474454,0,55.27831094049904,38.88888888888889,0.8320193680731166
G15327,051,42,15327,G38300,4.2569965345578035e-12,0,G4200510,2007-2011,54717,990513.2000000001,3962052.8000000003,22500,112500,20453,100000,4,13,16525,3505,-0.23795164208564065,16525,3505,-0.23795164208564065,900.5,3411,0.04588153590291866,900.5,3411,0.04588153590291866,1249,41979,99.43955164131305,0,0.4003202562049639,0,0,18.038331454340472,0,10.291734197730957,15.551181102362206,0.023902336673638017
G15334,059,42,15334,NA,NA,NA,G4200590,2007-2011,14102,990513.2000000001,3962052.8000000003,22500,112500,20453,100000,4,13,3655.5,1471.5,-0.154871649411431,3655.5,1471.5,-0.154871649411431,1.5,1466.5,0.10388597362076302,1.5,1466.5,0.10388597362076302,131,61500,100,0,0,0,0,6.451612903225806,0,8.396946564885496,25.925925925925924,0.026675651090029652
G15337,059,42,15337,G38300,3.681152656652443e-12,0,G4200590,2007-2011,14102,990513.2000000001,3962052.8000000003,22500,112500,20453,100000,4,13,3655.5,1471.5,-0.154871649411431,3655.5,1471.5,-0.154871649411431,1.5,1466.5,0.10388597362076302,1.5,1466.5,0.10388597362076302,735,42857,99.31972789115646,0,0,0,0,13.843351548269581,0,13.249651324965134,26.71232876712329,0.008890172538920814
G15338,051,42,15338,G38300,4.785444459311833e-12,0,G4200510,2007-2011,54717,990513.2000000001,3962052.8000000003,22500,112500,20453,100000,4,13,16525,3505,-0.23795164208564065,16525,3505,-0.23795164208564065,900.5,3411,0.04588153590291866,900.5,3411,0.04588153590291866,1619,42875,99.56763434218654,0.24706609017912293,0,0,0,10.51693404634581,0,15.565163681284744,12.439418416801292,0.03259860120090301
G15341,059,42,15341,NA,NA,NA,G4200590,2007-2011,14102,990513.2000000001,3962052.8000000003,22500,112500,20453,100000,4,13,3655.5,1471.5,-0.154871649411431,3655.5,1471.5,-0.154871649411431,1.5,1466.5,0.10388597362076302,1.5,1466.5,0.10388597362076302,888,53173,99.21171171171171,0,0,0,0,19.448698315467077,0,11.5990990990991,12.868632707774799,0.0069668005570543545
G15344,059,42,15344,NA,NA,NA,G4200590,2007-2011,14102,990513.2000000001,3962052.8000000003,22500,112500,20453,100000,4,13,3655.5,1471.5,-0.154871649411431,3655.5,1471.5,-0.154871649411431,1.5,1466.5,0.10388597362076302,1.5,1466.5,0.10388597362076302,1683,43734,94.11764705882352,4.396910279263221,0,1.0101010101010102,0,16.420233463035018,0,6.001188354129531,19.565217391304348,0.045355948810600864
G15346,059,42,15346,NA,NA,NA,G4200590,2007-2011,14102,990513.2000000001,3962052.8000000003,22500,112500,20453,100000,4,13,3655.5,1471.5,-0.154871649411431,3655.5,1471.5,-0.154871649411431,1.5,1466.5,0.10388597362076302,1.5,1466.5,0.10388597362076302,629,51071,100,0,0,0,0,10.491071428571429,0,7.154213036565977,13.963963963963963,0.2674588689214823
G15349,059,42,15349,G34060,4.644901478390209e-13,0,G4200590,2007-2011,14102,990513.2000000001,3962052.8000000003,22500,112500,20453,100000,4,13,3655.5,1471.5,-0.154871649411431,3655.5,1471.5,-0.154871649411431,1.5,1466.5,0.10388597362076302,1.5,1466.5,0.10388597362076302,1622,46250,99.56843403205919,0,0,0.3082614056720099,0.06165228113440197,14.527027027027026,0,8.816276202219482,23.84500745156483,0.016208584713426594
G15351,051,42,15351,G38300,3.349023350442055e-11,0,G4200510,2007-2011,54717,990513.2000000001,3962052.8000000003,22500,112500,20453,100000,4,13,16525,3505,-0.23795164208564065,16525,3505,-0.23795164208564065,900.5,3411,0.04588153590291866,900.5,3411,0.04588153590291866,653,24300,100,0,0,0,0,21.791767554479417,0,0,35.256410256410255,0.20617561199465284
